Height,Width,Thickness,Efficiency,Cleaned Efficiency,Model,N/A,N/A,N/A,Power output
1005,665,34,13.5 ~ 16.5 ,16.5,SLG 110P to 90P,NaN,NaN,,349.3468
1150,670,3.2,13 ~ 14.3 ,14.3,120V/100-110WP,NaN,NaN,,349.055
1191,1067,35,13,13,SCN-170/165-72MS,NaN,NaN,,348.91
1191,1067,35,13,13,TH-170/165-72MS,NaN,NaN,,348.91
1191,1067,46.5,13,13,SDM-170/165-72MS,NaN,NaN,,348.91
1190,1067,46.5,13,13,TSM(8x9) 165,NaN,NaN,,348.6171
1020,670,30,0.161,16.1,EGE-110M-36,NaN,NaN,,348.5668
714,992,35,12.7 ~ 15.53 ,15.53,JST90-110P(72),NaN,NaN,,348.4709
990,992,40,0.168,16.8,Poly 140W,NaN,NaN,,348.4577
990,992,40,0.168,16.8,Poly 125W,NaN,NaN,,348.4577
990,992,40,0.168,16.8,fully black high efficiency PCB small...,NaN,NaN,,348.4577
1000,665,30,15.04 ~ 16.54 ,16.54,SKT100-110M-12,NaN,NaN,,348.4515
1019,992,40,14.34 ~ 16.32 ,16.32,KLT-PO-145W-165W,NaN,NaN,,348.4175
1130,668,35,0.1457,14.57,YH110W-18-P,NaN,NaN,,348.4172
1130,668,35,0.1457,14.57,SYK80-18P,NaN,NaN,,348.4172
1120,668,35,0.147,14.7,SL110TU-18MD,NaN,NaN,,348.4151
1120,668,35,0.147,14.7,Off Grid 110W,NaN,NaN,,348.4151
1120,668,35,0.147,14.7,SL110TU-18P,NaN,NaN,,348.4151
1120,668,35,14.03 ~ 14.7 ,14.7,RS -P105-110,NaN,NaN,,348.4151
1120,668,35,14.03 ~ 14.7 ,14.7,ORI-105-110M,NaN,NaN,,348.4151
1120,680,35,11.8 ~ 14.44 ,14.44,SL6P36-90W-110W,NaN,NaN,,348.4009
1120,680,35,11.8 ~ 14.44 ,14.44,SW030-045P,NaN,NaN,,348.4009
995,665,34,15.14 ~ 16.62 ,16.62,ANORA 110-P,NaN,NaN,,348.3862
1006,676,30,14.7 ~ 16.17 ,16.17,SDM-100-110,NaN,NaN,,348.3693
1006,676,30,14.7 ~ 16.17 ,16.17,PS-M636 100-110W,NaN,NaN,,348.3693
1095,665,35,13.73 ~ 15.1 ,15.1,KL100/KL110,NaN,NaN,,348.3356
1195,541,40,13.9 ~ 17 ,17,SI90-110M-36,NaN,NaN,,348.1763
1037,527,35,19.2 ~ 20.1 ,20.1,HOP Series 110W,NaN,NaN,,347.9931
1175,540,35,0.173,17.3,SD-HMG-110-20,NaN,NaN,,347.7466
1175,540,35,0.173,17.3,SD-HMF-80-130,NaN,NaN,,347.7466
1195,550,40,15.2 ~ 16.7 ,16.7,TDB125×125-36-P,NaN,NaN,,347.7221
920,670,30,16.8 ~ 17.8 ,17.8,SLS085-90M,NaN,NaN,,347.5904
1145,665,34,0.144,14.4,Aditi 12V - 110WP,NaN,NaN,,347.356
1145,665,34,0.144,14.4,Aditi 24V - 110WP,NaN,NaN,,347.356
1170,670,35,0.1397,13.97,GS-110P,NaN,NaN,,346.9303
855,800,2,0.24,24,Solbianflex SP 118 Q,NaN,NaN,,346.7059
1035,670,34,14.16 ~ 15.76 ,15.76,DS36100,NaN,NaN,,346.2235
1195,541,35,13.9 ~ 16.9 ,16.9,JHX-90-110M36,NaN,NaN,,346.1283
990,990,40,15.2 ~ 16.7 ,16.7,Trienergia TRI-100/110BC-BB,NaN,NaN,,345.6852
986,976,6.5,0.17,17,GS-163,NaN,NaN,,345.5171
1175,540,35,0.17,17,WB-110SP,NaN,NaN,,341.7163
1064,1047,6,14.5,14.5,GSS-PV-162,NaN,NaN,,341.1538
1150,990,45,0.141,14.1,DS-A36-160,NaN,NaN,,339.0362
1150,990,45,0.141,14.1,KF75-130M-12,NaN,NaN,,339.0362
1195,1066,46,12.6,12.6,SDM-170/160-72MS,NaN,NaN,,338.9921
1195,1066,46,12.6,12.6,TH xxx/ 160-72MS,NaN,NaN,,338.9921
1178,994,45,13.7,13.7,CHSM-160M(160),NaN,NaN,,338.8021
1178,994,45,13.7,13.7,CHSM-150P(160),NaN,NaN,,338.8021
1191,1067,35,12.6,12.6,SCN-170/160-72MS,NaN,NaN,,338.1743
1191,1067,46.5,12.6,12.6,SDM-170/160-72MS,NaN,NaN,,338.1743
1191,1067,35,12.6,12.6,TH-170/160-72MS,NaN,NaN,,338.1743
1020,990,40,14.85 ~ 15.85 ,15.85,GSE150-160MP,NaN,NaN,,338.0326
1020,990,40,14.85 ~ 15.85 ,15.85,Solo Line M36/100-160,NaN,NaN,,338.0326
