Height,Width,Thickness,Efficiency,Cleaned Efficiency,Model,N/A,N/A,N/A,Power output
1200,554,35,12.8,12.8,CHSM-085P(85),NaN,NaN,,0
1494,994,45,14.1,14.1,CHSM-210M(210),NaN,NaN,,0
1652,994,45,12.2,12.2,CHSM6610P-200,NaN,NaN,,0
1580,808,45,12.5,12.5,CHSM-165P(160),NaN,NaN,,0
1200,554,35,12,12,CHSM-080M(80),NaN,NaN,,0
1580,808,45,12.9,12.9,CHSM-165P(165),NaN,NaN,,0
1580,808,45,12.5,12.5,CHSM5612M-160,NaN,NaN,,0
1580,808,45,14.1,14.1,CHSM5612M-180,NaN,NaN,,0
1300,1100,6.8,8.4,8.4,CHSM5011T-120,NaN,NaN,,0
1300,1100,35,8.4,8.4,CHSM-120TF,NaN,NaN,,0
1336,994,45,12.8,12.8,CHSM-180M(170),NaN,NaN,,0
1300,1100,7,8,8,CHSM5000T-115,NaN,NaN,,0
1500,690,45,12.6,12.6,CHSM-130P(130),NaN,NaN,,0
1494,994,45,14.1,14.1,CHSM6609P-210,NaN,NaN,,0
1968,994,45,13.3,13.3,CHSM-270M(260),NaN,NaN,,0
1580,808,45,14.9,14.9,CHSM5612M-190,NaN,NaN,,0
1652,994,45,13.1,13.1,CHSM6610P-215,NaN,NaN,,0
1200,554,35,12,12,CHSM5409M-95,NaN,NaN,,0
1500,690,45,11.6,11.6,CHSM-130P(120),NaN,NaN,,0
1652,994,45,14,14,CHSM6610M(BL)-230,NaN,NaN,,0
1652,994,45,14.6,14.6,CHSM6610P-240,NaN,NaN,,0
1300,1100,6.8,7.3,7.3,CHSM5011T-105,NaN,NaN,,0
1580,808,45,13.7,13.7,CHSM-175M(175),NaN,NaN,,0
1580,808,45,13.7,13.7,CHSM5612M(BL)-175,NaN,NaN,,0
1200,554,35,12,12,CHSM-085M(80),NaN,NaN,,0
1200,554,35,12.8,12.8,CHSM5409M-85,NaN,NaN,,0
1652,994,45,14.3,14.3,CHSM6610M(BL)-235,NaN,NaN,,0
1453,808,45,13.7,13.7,CHSM5611M-175,NaN,NaN,,0
1200,554,35,13.5,13.5,CHSM-085P(90),NaN,NaN,,0
1200,554,35,12.8,12.8,CHSM-085M(85),NaN,NaN,,0
1652,994,45,13.4,13.4,CHSM-230M(220),NaN,NaN,,0
1300,1100,6.8,7.7,7.7,CHSM5001T-110,NaN,NaN,,0
1652,994,45,14.6,14.6,CHSM6610M-240,NaN,NaN,,0
1652,994,45,13.4,13.4,CHSM-220P(220),NaN,NaN,,0
1652,994,45,15.2,15.2,CHSM6610P-250,NaN,NaN,,0
1652,994,45,13.4,13.4,CHSM6610M(BL)-220,NaN,NaN,,0
1580,808,45,13.3,13.3,CHSM5612M(BL)-170,NaN,NaN,,0
1494,994,45,14.1,14.1,CHSM6609M-210,NaN,NaN,,0
1336,994,45,13.6,13.6,CHSM-180M(180),NaN,NaN,,0
1453,808,45,12.9,12.9,CHSM5611M-170,NaN,NaN,,0
1200,554,35,12,12,CHSM-085P(80),NaN,NaN,,0
1652,994,45,14.9,14.9,CHSM6610M-245,NaN,NaN,,0
1300,1100,6.8,8,8,CHSM5001T-115,NaN,NaN,,0
1500,690,45,13.5,13.5,CHSM-130P(140),NaN,NaN,,0
1652,994,45,12.5,12.5,CHSM6610P-205,NaN,NaN,,0
1300,1100,7,8.7,8.7,CHSM5000T-125,NaN,NaN,,0
1652,994,45,14,14,CHSM-220P(230),NaN,NaN,,0
1200,554,35,11.3,11.3,CHSM5409M-75,NaN,NaN,,0
1580,808,45,13.3,13.3,CHSM5612M-170,NaN,NaN,,0
1652,994,45,12.8,12.8,CHSM-220P(210),NaN,NaN,,0
1652,994,45,14.6,14.6,CHSM6610M(BL)-240,NaN,NaN,,0
1580,808,45,15.7,15.7,CHSM5612M(BL)-200,NaN,NaN,,0
1968,994,45,12.8,12.8,CHSM-260P(250),NaN,NaN,,0
1300,1100,6.8,7,7,CHSM5001T-100,NaN,NaN,,0
1810,994,45,13.9,13.9,CHSM-240P(250),NaN,NaN,,0
1494,994,45,14.5,14.5,CHSM6609P-215,NaN,NaN,,0
1810,994,45,13.3,13.3,CHSM-250M(240),NaN,NaN,,0
1580,808,45,13.3,13.3,CHSM-165P(170),NaN,NaN,,0
1652,994,45,13.4,13.4,CHSM6610M-220,NaN,NaN,,0
1580,808,45,13.6,13.6,CHSM5612M(BL)-185,NaN,NaN,,0
1200,554,35,12.8,12.8,CHSM-080P(85),NaN,NaN,,0
1336,994,45,13.6,13.6,CHSM-170P(180),NaN,NaN,,0
1580,808,45,12.8,12.8,CHSM5612M(BL)-195,NaN,NaN,,0
1968,994,45,13.3,13.3,CHSM-260P(260),NaN,NaN,,0
1300,1100,35,8,8,CHSM-115TF,NaN,NaN,,0
1494,994,45,13.5,13.5,CHSM6609P-200,NaN,NaN,,0
1494,994,45,13.1,13.1,CHSM6609M-195,NaN,NaN,,0
1652,994,45,14,14,CHSM6610P-230,NaN,NaN,,0
1580,808,45,14.3,14.3,CHSM5612M(BL)-190,NaN,NaN,,0
1494,994,45,13.5,13.5,CHSM-210M(200),NaN,NaN,,0
1652,994,45,13.1,13.1,CHSM6610M-215,NaN,NaN,,0
1200,554,35,13.5,13.5,CHSM-085M(90),NaN,NaN,,0
1580,808,45,12.9,12.9,CHSM5612M-165,NaN,NaN,,0
1652,994,45,14.6,14.6,CHSM6610M-230,NaN,NaN,,0
1652,994,45,14.6,14.6,CHSM-230M(240),NaN,NaN,,0
1453,808,45,13.6,13.6,CHSM5611M-165,NaN,NaN,,0
1494,994,45,13.1,13.1,CHSM6609P-195,NaN,NaN,,0
1652,994,45,12.5,12.5,CHSM6610M-205,NaN,NaN,,0
1336,994,45,12.8,12.8,CHSM-170P(170),NaN,NaN,,0
1968,994,45,13.8,13.8,CHSM-270M(270),NaN,NaN,,0
1300,1100,6.8,8,8,CHSM5011T-115,NaN,NaN,,0
1810,994,45,13.9,13.9,CHSM-250M(250),NaN,NaN,,0
1200,554,35,12,12,CHSM-080P(80),NaN,NaN,,0
1640,990,50,14.2,14.2,RNZT230W,NaN,NaN,,0
1640,990,50,12.9,12.9,RNZT210W,NaN,NaN,,0
1640,990,50,14.8,14.8,RNZT240W,NaN,NaN,,0
1640,990,50,13.6,13.6,RNZT220W,NaN,NaN,,0
1640,990,50,12.3,12.3,RNZT200W,NaN,NaN,,0
1480,670,45,12.6,12.6,CNM125P-36,NaN,NaN,,0
1482,992,45,13.6,13.6,CNM200P-54,NaN,NaN,,0
1575,1082,50,15.3,15.3,CNM260M-96,NaN,NaN,,0
1575,1082,50,13.8,13.8,CNM235M-96,NaN,NaN,,0
1575,1082,50,13.5,13.5,CNM230M-96,NaN,NaN,,0
1957,992,50,15.2,15.2,CNM295P-72,NaN,NaN,,0
1480,670,45,14.6,14.6,CNM145P-36,NaN,NaN,,0
1956,992,50,14.7,14.7,CNM285P-72,NaN,NaN,,0
1650,992,50,14.1,14.1,CNM230P-60,NaN,NaN,,0
1580,808,40,14.5,14.5,CNM185M-72,NaN,NaN,,0
1650,992,50,12.8,12.8,CNM210P-60,NaN,NaN,,0
1480,670,45,13.6,13.6,CNM135P-36,NaN,NaN,,0
1575,1082,50,14.1,14.1,CNM240M-96,NaN,NaN,,0
1580,808,40,13.3,13.3,CNM170M-72,NaN,NaN,,0
1482,992,45,14.3,14.3,CNM210P-54,NaN,NaN,,0
1575,1082,50,12.9,12.9,CNM220M-96,NaN,NaN,,0
1650,992,50,13.4,13.4,CNM220P-60,NaN,NaN,,0
1482,992,45,12.6,12.6,CNM185P-54,NaN,NaN,,0
1650,992,50,14.7,14.7,CNM240P-60,NaN,NaN,,0
1482,992,45,12.9,12.9,CNM190P-54,NaN,NaN,,0
1480,670,45,14.1,14.1,CNM140P-36,NaN,NaN,,0
1575,1082,50,14.7,14.7,CNM250M-96,NaN,NaN,,0
1650,992,50,12.5,12.5,CNM205P-60,NaN,NaN,,0
1580,808,45,12.9,12.9,CNM165M-72,NaN,NaN,,0
1957,992,50,12.6,12.6,CNM245P-72,NaN,NaN,,0
1956,992,50,14.9,14.9,CNM290P-72,NaN,NaN,,0
1580,808,40,14.9,14.9,CNM190M-72,NaN,NaN,,0
1575,1082,50,13.2,13.2,CNM225M-96,NaN,NaN,,0
1650,992,50,13.7,13.7,CNM225P-60,NaN,NaN,,0
1650,992,50,14.4,14.4,CNM235P-60,NaN,NaN,,0
1650,992,50,15,15,CNM245P-60,NaN,NaN,,0
1956,992,50,14.4,14.4,CNM280P-72,NaN,NaN,,0
1650,992,50,13.1,13.1,CNM215P-60,NaN,NaN,,0
1957,992,50,13.1,13.1,CNM255P-72,NaN,NaN,,0
1482,992,45,15,15,CNM220P-54,NaN,NaN,,0
1482,992,45,12.2,12.2,CNM180P-54,NaN,NaN,,0
1580,808,40,14.1,14.1,CNM180M-72,NaN,NaN,,0
1580,808,40,13.7,13.7,CNM175M-72,NaN,NaN,,0
1580,808,45,15.3,15.3,CNM195M-72,NaN,NaN,,0
1482,992,45,13.3,13.3,CNM195P-54,NaN,NaN,,0
1956,992,50,14.2,14.2,CNM275P-72,NaN,NaN,,0
1480,670,45,13.1,13.1,CNM130P-36,NaN,NaN,,0
1956,992,50,13.7,13.7,CNM265P-72,NaN,NaN,,0
1956,992,50,13.9,13.9,CNM270P-72,NaN,NaN,,0
1650,992,46,14.1,14.1,Poly Series I 230W,NaN,NaN,,0
1580,1060,46,12.5,12.5,Mono Series II 210W,NaN,NaN,,0
1957,992,50,14.7,14.7,Poly Series II 285W,NaN,NaN,,0
1957,992,50,14.4,14.4,Poly Series II 280W,NaN,NaN,,0
1957,992,50,15.5,15.5,Mono Series IV 300W,NaN,NaN,,0
1580,808,40,13.7,13.7,Mono Series I 175W,NaN,NaN,,0
1957,992,50,13.9,13.9,Poly Series II 270W,NaN,NaN,,0
1580,808,40,12.5,12.5,Mono Series I 160W,NaN,NaN,,0
1650,992,50,14.1,14.1,Mono Series II 230W,NaN,NaN,,0
1650,992,50,14.4,14.4,Mono Series II 235W,NaN,NaN,,0
1957,992,50,14.2,14.2,Poly Series II 275W,NaN,NaN,,0
1580,808,40,13.3,13.3,Mono Series I 170W,NaN,NaN,,0
1477,990,40,12.3,12.3,Poly Series I 180W,NaN,NaN,,0
1957,992,50,14.9,14.9,Poly Series II 290W,NaN,NaN,,0
1957,990,50,12.9,12.9,Poly Series III 250W,NaN,NaN,,0
1650,992,46,12.8,12.8,Poly Series II 210W,NaN,NaN,,0
1957,992,50,14.4,14.4,Mono Series IV 280W,NaN,NaN,,0
1477,990,40,11.6,11.6,Poly Series I 170W,NaN,NaN,,0
1580,808,40,15.3,15.3,Mono Series I 195W,NaN,NaN,,0
1580,808,40,14.9,14.9,Mono Series I 190W,NaN,NaN,,0
1650,992,46,14.1,14.1,Poly Series II 230W,NaN,NaN,,0
1580,808,40,14.1,14.1,Mono Series I 180W,NaN,NaN,,0
1650,992,46,13.7,13.7,Poly Series I 225W,NaN,NaN,,0
1957,990,50,13.9,13.9,Poly Series III 270W,NaN,NaN,,0
1650,992,46,14.7,14.7,Poly Series I 240W,NaN,NaN,,0
1650,992,46,14.4,14.4,Poly Series I 235W,NaN,NaN,,0
1580,808,40,12.9,12.9,Mono Series I 165W,NaN,NaN,,0
1957,990,50,13.4,13.4,Poly Series III 260W,NaN,NaN,,0
1477,990,40,13,13,Poly Series I 190W,NaN,NaN,,0
1650,992,46,12.2,12.2,Poly Series II 200W,NaN,NaN,,0
1575,1082,50,15.3,15.3,Mono Series III 260W,NaN,NaN,,0
1580,808,40,14.5,14.5,Mono Series I 185W,NaN,NaN,,0
1650,992,46,14.7,14.7,Poly Series II 240W,NaN,NaN,,0
1957,992,50,14.7,14.7,Mono Series IV 285W,NaN,NaN,,0
1650,992,46,13.1,13.1,Poly Series I 215W,NaN,NaN,,0
1575,1082,50,14.7,14.7,Mono Series III 250W,NaN,NaN,,0
1575,1082,50,15,15,Mono Series III 255W,NaN,NaN,,0
1957,992,50,14.9,14.9,Mono Series IV 290W,NaN,NaN,,0
1650,992,46,13.4,13.4,Poly Series I 220W,NaN,NaN,,0
1650,992,50,15.3,15.3,Mono Series II 250W,NaN,NaN,,0
1575,1082,50,14.4,14.4,Mono Series III 245W,NaN,NaN,,0
1650,992,46,12.8,12.8,Poly Series I 210W,NaN,NaN,,0
1957,990,50,14.5,14.5,Poly Series III 280W,NaN,NaN,,0
1580,1060,46,11.9,11.9,Mono Series II 200W,NaN,NaN,,0
1957,992,50,15.2,15.2,Mono Series IV 295W,NaN,NaN,,0
1650,992,46,13.4,13.4,Poly Series II 220W,NaN,NaN,,0
1575,1082,50,14.1,14.1,Mono Series III 240W,NaN,NaN,,0
1650,992,50,15,15,Mono Series II 245W,NaN,NaN,,0
1580,1060,46,13.1,13.1,Mono Series II 220W,NaN,NaN,,0
1650,992,50,14.7,14.7,Mono Series II 240W,NaN,NaN,,0
1650,992,46,12.5,12.5,CNPV-205P,NaN,NaN,,0
1581,809,40,13.3,13.3,CNPV-170M,NaN,NaN,,0
1650,992,46,15.6,15.6,CNPV-255M,NaN,NaN,,0
1965,992,46,14.9,14.9,CNPV-290M,NaN,NaN,,0
1482,992,46,14.3,14.3,CNPV-210M-54,NaN,NaN,,0
1581,809,40,15.6,15.6,CNPV-200M-72,NaN,NaN,,0
1650,992,46,12.2,12.2,CNPV-200M,NaN,NaN,,0
1650,992,46,13.7,13.7,CNPV-225P,NaN,NaN,,0
1492,674,40,11.9,11.9,CNPV-120P,NaN,NaN,,0
1581,809,40,12.9,12.9,CNPV-165M,NaN,NaN,,0
1650,992,46,11.6,11.6,CNPV-190P,NaN,NaN,,0
1965,992,46,14.4,14.4,CNPV-280P,NaN,NaN,,0
1650,992,46,15.6,15.6,CNPV-255P,NaN,NaN,,0
1650,992,46,14.4,14.4,CNPV-235M,NaN,NaN,,0
1581,809,40,14.9,14.9,CNPV-190M,NaN,NaN,,0
1482,992,46,14.6,14.6,CNPV-215M-54,NaN,NaN,,0
1581,809,40,12.5,12.5,CNPV-160M,NaN,NaN,,0
1965,992,46,14.4,14.4,CNPV-280M,NaN,NaN,,0
1581,809,40,14.5,14.5,CNPV-185M,NaN,NaN,,0
1965,992,46,14.1,14.1,CNPV-275P,NaN,NaN,,0
1650,992,46,14.4,14.4,CNPV-235P,NaN,NaN,,0
1965,992,46,15.1,15.1,CNPV-295P,NaN,NaN,,0
1581,809,40,13.7,13.7,CNPV-175M,NaN,NaN,,0
1650,992,46,14.1,14.1,CNPV-230M,NaN,NaN,,0
1200,540,40,13.9,13.9,CNPV-90M,NaN,NaN,,0
1482,992,46,13.9,13.9,CNPV-205P-54,NaN,NaN,,0
1492,674,40,12.9,12.9,CNPV-130P,NaN,NaN,,0
1650,992,46,12.5,12.5,CNPV-205M,NaN,NaN,,0
1482,992,46,13.6,13.6,CNPV-200P-54,NaN,NaN,,0
1965,992,46,15.4,15.4,CNPV-300P,NaN,NaN,,0
1492,674,40,14.4,14.4,CNPV-145M,NaN,NaN,,0
1492,674,40,12.4,12.4,CNPV-125P,NaN,NaN,,0
1650,992,46,13.1,13.1,CNPV-215M,NaN,NaN,,0
1200,540,40,13.1,13.1,CNPV-85M,NaN,NaN,,0
1650,992,46,14.1,14.1,CNPV-230P,NaN,NaN,,0
1581,809,40,14.1,14.1,CNPV-180M,NaN,NaN,,0
1650,992,46,13.4,13.4,CNPV-220M,NaN,NaN,,0
1965,992,46,13.9,13.9,CNPV-270M,NaN,NaN,,0
1482,992,46,13.9,13.9,CNPV-205M-54,NaN,NaN,,0
1200,540,40,14.7,14.7,CNPV-95M,NaN,NaN,,0
1650,992,46,15.3,15.3,CNPV-250M,NaN,NaN,,0
1492,674,40,13.9,13.9,CNPV-140P,NaN,NaN,,0
1492,674,40,12.9,12.9,CNPV-130M,NaN,NaN,,0
1965,992,46,15.1,15.1,CNPV-295M,NaN,NaN,,0
1650,992,46,16.8,16.8,CNPV-275M,NaN,NaN,,0
1650,992,46,15.3,15.3,CNPV-250P-60,NaN,NaN,,0
1650,992,46,16.2,16.2,CNPV-265P,NaN,NaN,,0
1965,992,46,15.4,15.4,CNPV-300M,NaN,NaN,,0
1965,992,46,13.9,13.9,CNPV-270P,NaN,NaN,,0
1581,809,40,15.2,15.2,CNPV-195M,NaN,NaN,,0
1650,992,46,11.9,11.9,CNPV-195P,NaN,NaN,,0
1965,992,46,14.6,14.6,CNPV-285P,NaN,NaN,,0
1581,809,40,16,16,CNPV-205M-72,NaN,NaN,,0
1650,992,46,13.1,13.1,CNPV-215P,NaN,NaN,,0
1650,992,46,13.7,13.7,CNPV-225M,NaN,NaN,,0
1650,992,46,12.2,12.2,CNPV-200P,NaN,NaN,,0
1200,540,40,15.4,15.4,CNPV-100M,NaN,NaN,,0
1965,992,46,14.6,14.6,CNPV-285M,NaN,NaN,,0
1650,992,46,12.8,12.8,CNPV-210M,NaN,NaN,,0
1650,992,46,15,15,CNPV-245P,NaN,NaN,,0
1965,992,46,12.8,12.8,CNPV-250P,NaN,NaN,,0
1650,992,46,18.6,18.6,CNPV-305M,NaN,NaN,,0
1965,992,46,14.9,14.9,CNPV-290P,NaN,NaN,,0
1965,992,46,13.3,13.3,CNPV-260M,NaN,NaN,,0
1650,992,46,14.7,14.7,CNPV-240P,NaN,NaN,,0
1650,992,46,15,15,CNPV-245M,NaN,NaN,,0
1492,674,40,13.4,13.4,CNPV-135M,NaN,NaN,,0
1650,992,46,14.7,14.7,CNPV-240M,NaN,NaN,,0
1492,674,40,12.4,12.4,CNPV-125M,NaN,NaN,,0
1492,674,40,14.9,14.9,CNPV-150M,NaN,NaN,,0
1492,674,40,13.9,13.9,CNPV-140M,NaN,NaN,,0
1650,992,46,16.2,16.2,CNPV-265M,NaN,NaN,,0
1492,674,40,14.4,14.4,CNPV-145P,NaN,NaN,,0
1482,992,46,14.3,14.3,CNPV-210P-54,NaN,NaN,,0
1492,674,40,13.4,13.4,CNPV-135P,NaN,NaN,,0
1965,992,46,13.3,13.3,CNPV-260P,NaN,NaN,,0
1650,992,46,12.8,12.8,CNPV-210P,NaN,NaN,,0
1650,992,46,13.4,13.4,CNPV-220P,NaN,NaN,,0
1200,1070,40,14.4,14.4,COE-185M,NaN,NaN,,0
1640,992,40,14.1,14.1,TRI-230P,NaN,NaN,,0
1200,1070,40,14,14,COE-180M,NaN,NaN,,0
1200,1070,40,15.6,15.6,COE-200M,NaN,NaN,,0
1200,1070,40,14.8,14.8,COE-190M,NaN,NaN,,0
1640,992,40,14.1,14.1,TRI-235P,NaN,NaN,,0
1640,992,40,13.8,13.8,TRI-225P,NaN,NaN,,0
1652,1000,46,13.3,13.3,Conergy PowerPlus 220M,NaN,NaN,,0
1665,991,43,13,13,Conergy E 215P,NaN,NaN,,0
NaN,null,null,13.3,13.3,A 175-C,NaN,NaN,,0
1652,1000,50,13.3,13.3,Conergy Black 220PA,NaN,NaN,,0
NaN,null,null,13.1,13.1,D 170P,NaN,NaN,,0
1651,986,46,12.9,12.9,Conergy PowerPlus 210P,NaN,NaN,,0
1575,826,46,13.8,13.8,Conergy SC 180MA,NaN,NaN,,0
1580,808,45,13.3,13.3,Conergy P 170M,NaN,NaN,,0
1494,1000,45,14.1,14.1,Conergy P 210P,NaN,NaN,,0
NaN,null,null,12.2,12.2,E 170P,NaN,NaN,,0
NaN,null,null,13.8,13.8,SC 180M,NaN,NaN,,0
NaN,null,null,13.1,13.1,SC 170M,NaN,NaN,,0
1652,1000,50,13,13,Conergy Black 215PA,NaN,NaN,,0
NaN,null,null,12.4,12.4,158 Profiline,NaN,NaN,,0
1665,991,43,13.6,13.6,Conergy E 225P,NaN,NaN,,0
1494,1000,45,13.7,13.7,Conergy P 205P,NaN,NaN,,0
1318,994,46,12.2,12.2,Conergy C 160P,NaN,NaN,,0
1494,1000,45,13.1,13.1,Conergy P 195P,NaN,NaN,,0
1335,986,46,13.7,13.7,Conergy PowerPlus 180MC,NaN,NaN,,0
1652,1000,50,14.2,14.2,Conergy P 235PA,NaN,NaN,,0
1665,991,43,12.4,12.4,Conergy E 205P,NaN,NaN,,0
1335,986,46,13.3,13.3,Conergy PowerPlus 175MC,NaN,NaN,,0
NaN,null,null,13.5,13.5,SC 175M,NaN,NaN,,0
1618,814,35,11,11,ST 145 F,NaN,NaN,,0
1310,652,34,12.3,12.3,Conergy 105 L Profiline,NaN,NaN,,0
1482,992,35,14.3,14.3,Conergy S 210P,NaN,NaN,,0
1304,648,4.5,12.5,12.5,Conergy S 106 L Profiline,NaN,NaN,,0
1575,826,46,13.1,13.1,Conergy SC 170MA,NaN,NaN,,0
NaN,null,null,12.1,12.1,155 Profiline,NaN,NaN,,0
1310,969,39.5,12.6,12.6,Conergy 160 Profiline,NaN,NaN,,0
1499,662,46,12.6,12.6,Conergy C 125PI,NaN,NaN,,0
NaN,null,null,13.5,13.5,D 175P,NaN,NaN,,0
NaN,null,null,12.5,12.5,Q 50PI,NaN,NaN,,0
1482,992,35,12.9,12.9,STM 190 PME,NaN,NaN,,0
NaN,null,null,13.7,13.7,D 175PA,NaN,NaN,,0
1482,992,35,12.9,12.9,Conergy S 190P,NaN,NaN,,0
1652,1000,50,13.3,13.3,Conergy P 220PA,NaN,NaN,,0
NaN,null,null,16.8,16.8,STM 210 F,NaN,NaN,,0
1652,1000,50,13.6,13.6,Conergy P 225PA,NaN,NaN,,0
NaN,null,null,11.9,11.9,E 165P,NaN,NaN,,0
NaN,null,null,12.5,12.5,S 106 L,NaN,NaN,,0
1318,994,46,14.1,14.1,STM 185 F,NaN,NaN,,0
1580,808,50,12.1,12.1,Conergy S 155 L Profiline,NaN,NaN,,0
1652,1000,50,12.7,12.7,Conergy P 210PA,NaN,NaN,,0
1580,808,35,13.3,13.3,STM 170 MME,NaN,NaN,,0
1665,991,43,12.7,12.7,Conergy E 210P,NaN,NaN,,0
NaN,null,null,13.3,13.3,E 185P,NaN,NaN,,0
1580,808,45,13.7,13.7,Conergy P 175M,NaN,NaN,,0
1318,994,46,12.6,12.6,Conergy C 165P,NaN,NaN,,0
NaN,null,null,12.3,12.3,D 160P,NaN,NaN,,0
1575,826,46,13.5,13.5,Conergy SC 175M,NaN,NaN,,0
1575,826,46,13.5,13.5,Conergy SC 175MA,NaN,NaN,,0
NaN,null,null,12.6,12.6,160 Profiline,NaN,NaN,,0
1494,1000,45,12.7,12.7,Conergy P 190P,NaN,NaN,,0
1652,1000,50,13.6,13.6,Conergy Black 225PA,NaN,NaN,,0
1651,986,46,14.1,14.1,Conergy PowerPlus 230P,NaN,NaN,,0
1575,826,46,13.8,13.8,Conergy SC 180M,NaN,NaN,,0
1651,986,46,13.5,13.5,Conergy PowerPlus 220P,NaN,NaN,,0
NaN,null,null,12.6,12.6,C 125 PI,NaN,NaN,,0
1575,826,46,13.1,13.1,Conergy SC 170M,NaN,NaN,,0
NaN,null,null,13,13,E 180P,NaN,NaN,,0
1651,986,46,13.2,13.2,Conergy PowerPlus 215P,NaN,NaN,,0
1335,986,46,14.1,14.1,Conergy PowerPlus 185MC,NaN,NaN,,0
NaN,null,null,12.4,12.4,C 123 P,NaN,NaN,,0
1652,1000,50,14.2,14.2,Conergy Black 235PA,NaN,NaN,,0
1580,808,50,12.7,12.7,STM 162 F,NaN,NaN,,0
1652,1000,46,13.6,13.6,Conergy PowerPlus 225M,NaN,NaN,,0
NaN,null,null,13.3,13.3,D 170PA,NaN,NaN,,0
NaN,null,null,16.9,16.9,STM 210 FBS,NaN,NaN,,0
1575,826,46,13.5,13.5,Conergy C 175M,NaN,NaN,,0
1494,1000,45,13.4,13.4,Conergy P 200P,NaN,NaN,,0
1652,1000,50,12.7,12.7,Conergy Black 210PA,NaN,NaN,,0
1482,992,35,14.3,14.3,STM 210 PME,NaN,NaN,,0
1652,1000,46,13.9,13.9,Conergy PowerPlus 230M,NaN,NaN,,0
1310,969,40,12.4,12.4,Conergy 158 Profiline,NaN,NaN,,0
1580,808,45,14.5,14.5,Conergy P 185M,NaN,NaN,,0
1482,992,35,13.6,13.6,STM 200 PME,NaN,NaN,,0
1482,676,35,13,13,Conergy Q 130MI,NaN,NaN,,0
NaN,null,null,16.9,16.9,STM 220 FWS,NaN,NaN,,0
1652,1000,46,12.7,12.7,Conergy PowerPlus 210M,NaN,NaN,,0
1237,1082,38,13.1,13.1,Asteria 175X,NaN,NaN,,0
1335,986,46,12.9,12.9,Conergy PowerPlus 170MC,NaN,NaN,,0
1652,1000,50,13,13,Conergy P 215PA,NaN,NaN,,0
NaN,null,null,12.5,12.5,D 160PA,NaN,NaN,,0
1580,808,45,14.1,14.1,Conergy P 180M,NaN,NaN,,0
1580,808,35,13.7,13.7,Conergy S 175MU,NaN,NaN,,0
1652,1000,50,13.9,13.9,Conergy Black 230PA,NaN,NaN,,0
NaN,null,null,12.6,12.6,E 175P,NaN,NaN,,0
1559,798,46,16.1,16.1,STM 200 FWS,NaN,NaN,,0
1651,986,46,11.7,11.7,Conergy PowerPlus 190P,NaN,NaN,,0
1580,808,35,13.7,13.7,STM 175 MME,NaN,NaN,,0
1580,808,35,13.7,13.7,Conergy S 175M,NaN,NaN,,0
1651,986,46,12.3,12.3,Conergy PowerPlus 200P,NaN,NaN,,0
NaN,null,null,12.4,12.4,105 L Profiline,NaN,NaN,,0
NaN,null,null,12.9,12.9,D 165PA,NaN,NaN,,0
1651,986,46,13.8,13.8,Conergy PowerPlus 225P,NaN,NaN,,0
NaN,null,null,9,9,FS 265,NaN,NaN,,0
NaN,null,null,13.3,13.3,P 170 Profiline,NaN,NaN,,0
NaN,null,null,16,16,STM 200 F,NaN,NaN,,0
1580,808,35,13.3,13.3,Conergy S 170M,NaN,NaN,,0
1318,994,46,12.4,12.4,Conergy C 162P,NaN,NaN,,0
1482,992,35,13.6,13.6,Conergy S 200P,NaN,NaN,,0
1665,991,43,13.3,13.3,Conergy E 220P,NaN,NaN,,0
1559,798,46,16.9,16.9,STM 210 FWS,NaN,NaN,,0
NaN,null,null,13.6,13.6,N 125 P,NaN,NaN,,0
NaN,null,null,12.3,12.3,A 165 P,NaN,NaN,,0
1652,1000,46,11.5,11.5,Conergy PowerPlus 190M,NaN,NaN,,0
1652,1000,46,13,13,Conergy PowerPlus 215M,NaN,NaN,,0
1580,808,35,13.7,13.7,STP 175 MU,NaN,NaN,,0
NaN,null,null,12.7,12.7,D 165P,NaN,NaN,,0
1559,798,46,16.1,16.1,STM 200 FBS,NaN,NaN,,0
1318,994,46,12.7,12.7,Conergy C 167P,NaN,NaN,,0
NaN,null,null,13.1,13.1,Asteria 175 X,NaN,NaN,,0
1318,994,46,13.7,13.7,STM 180 F,NaN,NaN,,0
1652,1000,50,13.9,13.9,Conergy P 230PA,NaN,NaN,,0
NaN,null,null,12,12,STM 173 F,NaN,NaN,,0
1651,986,46,12.6,12.6,Conergy PowerPlus 205P,NaN,NaN,,0
1580,808,50,12.7,12.7,STM 168 F,NaN,NaN,,0
NaN,null,null,12.6,12.6,C 125PI,NaN,NaN,,0
NaN,null,null,4.4,4.4,Kalzip AluPlusSolar (68 W),NaN,NaN,,0
NaN,null,null,4.6,4.6,Kalzip AluPlusSolar (136 W),NaN,NaN,,0
1956,992,50,13.9,13.9,CS6P24-270,NaN,NaN,,0
1580,808,50,13.7,13.7,CS5M24-175 All Black,NaN,NaN,,0
1580,1060,46,11.9,11.9,CS5M32-200,NaN,NaN,,0
1482,992,45,13.6,13.6,CS6M18-200,NaN,NaN,,0
1482,676,35,12,12,CS6P12-120,NaN,NaN,,0
1482,676,35,12,12,CS6M12-120,NaN,NaN,,0
1636,992,45,15.4,15.4,CS6P20-250,NaN,NaN,,0
1580,808,50,12.9,12.9,CS5M24-165 All Black,NaN,NaN,,0
